PaperID,Title,Authors,Year,Venue
53e9bd8cb7602d9704a359db,Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab.,"['Amit P. Sheth', 'John A. Miller', 'Krys Kochut', 'Ismailcem Budak Arpinar']",2001,SIGMOD Record
53e999e7b7602d970222b30e,Report on the Second IEEE Metadata Conference (Metadata '97).,"['Ron Musick', 'Christopher Miller 0002']",1998,SIGMOD Record
53e99a0ab7602d9702259213,Introducing an Annotated Bibliography on Temporal and Evolution Aspects in the World Wide Web.,['Fabio Grandi'],2004,SIGMOD Record
53e9b28fb7602d9703d32e18,"Multiplex, Fusionplex, and Autoplex - Three Generations of Information Integration.","['Amihai Motro', 'Jacob Berlin', 'Philipp Anokhin']",2004,SIGMOD Record
53e99953b7602d97021927fb,"Report on the First ""XQuery Implementation, Experience, and Perspectives"" Workshop (XIME-P).","['Ioana Manolescu', 'Yannis Papakonstantinou']",2004,SIGMOD Record
53e9b152b7602d9703bd3739,Integrating Dynamically-Fetched External Information into a DBMS for Semistructured Data.,"['Jason McHugh', 'Jennifer Widom']",1997,SIGMOD Record
53e9978ab7602d9701f47f80,WWW-UDK: A Web-based Environmental Meta-Information System.,"['Ralf Kramer', 'Ralf Nikolai', 'Arne Koschel', 'Claudia Rolker', 'Peter C. Lockemann', 'Andree Keitel', 'Rudolf Legat', 'Konrad Zirm']",1997,SIGMOD Record
53e99792b7602d9701f54bb7,From semantic integration to semantics management: case studies and a way forward.,"['Arnon Rosenthal', 'Leonard J. Seligman', 'Scott Renner']",2004,SIGMOD Record
53e9a611b7602d9702f43a35,Chair's Message.,['M. Tamer Özsu'],2001,SIGMOD Record
53e9af7bb7602d97039c1536,VideoAnywhere: A System for Searching and Managing Distributed Video Assets.,"['Amit P. Sheth', 'Clemens Bertram', 'Kshitij Shah']",1999,SIGMOD Record
53e9b701b7602d970429aca2,Quality of Service in Multimedia Digital Libraries.,"['Elisa Bertino', 'Ahmed K. Elmagarmid', 'Mohand-Said Hacid']",2001,SIGMOD Record
53e99d7ab7602d97026369c3,Reminiscences an Influential Papers.,"['Kenneth A. Ross', 'Minos N. Garofalakis', 'Jeffrey F. Naughton']",2003,SIGMOD Record
53e9a272b7602d9702b7bf20,Database Research at Arizona State University.,"['Susan Darling Urban', 'Suzanne W. Dietrich', 'Forouzan Golshani']",1996,SIGMOD Record
53e9a6dfb7602d9703015373,"SQLJ Part 0, Now Known as SQL/OLB (Object-Language Bindings).","['Andrew Eisenberg', 'Jim Melton']",1998,SIGMOD Record
53e9a114b7602d9702a04c1f,Materialized Views and Data Warehouses.,['Nick Roussopoulos'],1998,SIGMOD Record
53e9aea3b7602d97038c46d1,Algebraic Change Propagation for Semijoin and Outerjoin Queries.,"['Timothy Griffin', 'Bharat Kumar']",1998,SIGMOD Record
53e9ad42b7602d9703722d03,"Report on the 3rd Web Dynamics Workshop, at WWW'2004.","['Mark Levene', 'Alexandra Poulovassilis']",2004,SIGMOD Record
53e99938b7602d9702178a2d,Opportunities in Information Management and Assurance.,['Xiaolei Qian'],1997,SIGMOD Record
53e9b4b4b7602d9703fc8743,Semantic B2B Integration: Issues in Ontology-based Applications.,"['Zhan Cui', 'Dean M. Jones', ""Paul O'Brien""]",2002,SIGMOD Record
53e997bab7602d9701fa0b10,Chair's Message.,['M. Tamer Özsu'],2002,SIGMOD Record
53e99f86b7602d9702857e18,Evolution and Change in Data Management - Issues and Directions.,"['John F. Roddick', 'Lina Al-Jadir', 'Leopoldo E. Bertossi', 'Marlon Dumas', 'Florida Estrella', 'Heidi Gregersen', 'Kathleen Hornsby', 'Jens Lufter', 'Federica Mandreoli', 'Tomi Männistö', 'Enric Mayol', 'Lex Wedemeijer']",2000,SIGMOD Record
53e9ae11b7602d970381fc67,Interview: C. Mohan Speaks Out.,"['Marianne Winslett', 'C. Mohan']",2004,SIGMOD Record
53e9b954b7602d970453f36f,Robust key establishment in sensor networks.,['Yongge Wang'],2004,SIGMOD Record
53e9a833b7602d970317d4fd,Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95).,"['Mikael Berndtsson', 'Jörgen Hansson']",1996,SIGMOD Record
53e997b2b7602d9701f8f806,Editor's Notes.,['Ling Liu'],2001,SIGMOD Record
53e997e9b7602d9701fe3180,Lore: A Database Management System for Semistructured Data.,"['Jason McHugh', 'Serge Abiteboul', 'Roy Goldman', 'Dallan Quass', 'Jennifer Widom']",1997,SIGMOD Record
53e9b57cb7602d97040be00a,On the Issue of Valid Time(s) in Temporal Databases.,"['Stavros Kokkotos', 'Efstathios V. Ioannidis', 'Themis Panayiotopoulos', 'Constantine D. Spyropoulos']",1995,SIGMOD Record
53e9afb9b7602d9703a05ea6,Power efficient data gathering and aggregation in wireless sensor networks.,"['Hüseyin Özgür Tan', 'Ibrahim Korpeoglu']",2003,SIGMOD Record
53e9a8ffb7602d9703251ea7,"Yahiko Kambayashi (February 15, 1943 - February 6, 2004) - A tribute and personal memoirs.","['Yoshifumi Masunaga', 'Katsumi Tanaka']",2004,SIGMOD Record
53e9a09fb7602d97029889e9,"Rights of TODS Readers, Authors and Reviewers.",['Richard T. Snodgrass'],2002,SIGMOD Record
53e9b61bb7602d97041747ee,The New Middleware.,['Rich Finkelstein'],1995,SIGMOD Record
53e9a9c4b7602d9703326471,Data Management for Earth System Science.,"['James Frew', 'Jeff Dozier']",1997,SIGMOD Record
53e9b33db7602d9703e13425,The OASIS Multidatabase Prototype.,"['Mark Roantree', 'John Murphy', 'Wilhelm Hasselbring']",1999,SIGMOD Record
53e9b0d1b7602d9703b4e4a2,Clustering Validity Checking Methods: Part II.,"['Maria Halkidi', 'Yannis Batistakis', 'Michalis Vazirgiannis']",2002,SIGMOD Record
53e9bdfdb7602d9704ab29fe,Editor's Notes.,['Ling Liu'],2004,SIGMOD Record
53e99800b7602d970200b601,Phoenix Project: Fault-Tolerant Applications.,"['Roger S. Barga', 'David B. Lomet']",2002,SIGMOD Record
53e9a051b7602d9702935f18,Implementing Deletion in B+-Trees.,['Jan Jannink'],1995,SIGMOD Record
53e9a905b7602d9703253c45,On the Academic Interview Circuit: An End-to-End Discussion.,['Ugur Çetintemel'],2001,SIGMOD Record
53e997f1b7602d9701ff4779,Issues in Mechanical Engineering Design Management.,"['Dave Hislop', 'Zoé Lacroix', 'Gerald Moeller']",2004,SIGMOD Record
53e99d81b7602d970263f4db,Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review.,['Antonio Badia'],2002,SIGMOD Record
53e9984fb7602d9702084a2b,MPEG-7 and Multimedia Database Systems.,['Harald Kosch'],2002,SIGMOD Record
53e9ab37b7602d97034c3dcd,What Will Be - Book Review.,['Paul W. P. J. Grefen'],2002,SIGMOD Record
53e9ae1cb7602d970382c16a,Reminiscences on Influential Papers.,"['Kenneth A. Ross', 'Johannes Gehrke', 'Jun Rao']",2003,SIGMOD Record
53e9b71db7602d97042b5dec,Unpacking The Semantics of Source and Usage To Perform Semantic Reconciliation In Large-Scale Information Systems.,"['Kenneth P. Smith', 'Leo Obrst']",1999,SIGMOD Record
53e9ac38b7602d97035fd442,Report on First International Workshop on Real-Time Database Systems.,"['Azer Bestavros', 'Kwei-Jay Lin', 'Sang Hyuk Son']",1996,SIGMOD Record
53e9b1d0b7602d9703c5f35d,Reminiscences on Influential Papers.,"['Kenneth A. Ross', 'Flip Korn', 'Renée J. Miller', 'Kaladhar Voruganti']",2002,SIGMOD Record
53e99b0ab7602d970239c211,Bringing Order to Query Optimization.,"['Giedrius Slivinskas', 'Christian S. Jensen', 'Richard T. Snodgrass']",2002,SIGMOD Record
53e997a6b7602d9701f7f807,Metadata Standards for Data Warehousing: Open Information Model vs. Common Warehouse Metamodel.,"['Thomas Vetterli', 'Anca Vaduva', 'Martin Staudt']",2000,SIGMOD Record
53e9978ab7602d9701f45baa,Databases and Transaction Processing: An Application-Oriented Approach - Book Review.,['Alfons Kemper'],2002,SIGMOD Record
53e9bdcdb7602d9704a7a656,"Turmoil at NASA, and Numerous Funding Announcements.",['Xiaolei Qian'],1995,SIGMOD Record
53e9b6c4b7602d970424fff3,Towards a Richer Web Object Model.,['Frank Manola'],1998,SIGMOD Record
53e9ab2bb7602d97034b554c,Report in ISDO '00: The CAiSE*00 Workshop on Infrastructures for Dynamic Business-to-Business Service Outsourcinga.,"['Heiko Ludwig', 'Paul W. P. J. Grefen']",2000,SIGMOD Record
53e99f78b7602d970284eba7,Toward Autonomic Computing with DB2 Universal Database.,"['Sam Lightstone', 'Guy M. Lohman', 'Daniel C. Zilio']",2002,SIGMOD Record
53e9a25cb7602d9702b61fef,Report on the 7th EDBT Summer School: XML and Databases.,"['Riccardo Torlone', 'Paolo Atzeni']",2004,SIGMOD Record
53e9bd98b7602d9704a459d7,The GenAlg Project.,"['Joachim Hammer', 'Markus Schneider 0001']",2004,SIGMOD Record
53e9a11bb7602d9702a0bee9,Mobile Databases: a Selection of Open Issues and Research Directions.,"['Guy Bernard', 'Jalel Ben-Othman', 'Luc Bouganim', 'Gérôme Canals', 'Sophie Chabridon', 'Bruno Defude', 'Jean Ferrié', 'Stéphane Gançarski', 'Rachid Guerraoui', 'Pascal Molli', 'Philippe Pucheral', 'Claudia Roncancio', 'Patricia Serrano-Alvarado', 'Patrick Valduriez']",2004,SIGMOD Record
53e9aabdb7602d970343b0bc,Simulation data as data streams.,"['Ghaleb Abdulla', 'Terence Critchlow', 'William Arrighi']",2004,SIGMOD Record
53e99bf7b7602d97024a1216,In-context peer-to-peer information filtering on the Web.,['Aris M. Ouksel'],2003,SIGMOD Record
53e9b0fbb7602d9703b753f1,Towards a database body of knowledge: a study from Spain.,"['Coral Calero', 'Mario Piattini', 'Francisco Ruiz']",2003,SIGMOD Record
53e9bb37b7602d9704777fee,Report on the 9th International Workshop on Data Base Programming Languages.,"['Georg Lausen', 'Dan Suciu']",2004,SIGMOD Record
53e9a651b7602d9702f831d8,"Research and Practice in Federated Information Systems, Report of the EFIS '2000 International Workshop.","['Wilhelm Hasselbring', 'Willem-Jan van den Heuvel', 'Geert-Jan Houben', 'Ralf-Detlef Kutsche', 'Bodo Rieger', 'Mark Roantree', 'Kazimierz Subieta']",2000,SIGMOD Record
53e9a52cb7602d9702e504e7,The Clio Project: Managing Heterogeneity.,"['Renée J. Miller', 'Mauricio A. Hernández', 'Laura M. Haas', 'Ling-Ling Yan', 'C. T. Howard Ho', 'Ronald Fagin', 'Lucian Popa']",2001,SIGMOD Record
53e9b59bb7602d97040e14f1,Performing Jobs without Decompression in a Compressed Database System.,"[""S. J. O'Connell"", 'N. Winterbottom']",2003,SIGMOD Record
53e99d2fb7602d97025e68a2,Data Mining: Practical Machine Learning Tools and Techniques - Book Review.,['James Geller'],2002,SIGMOD Record
53e99821b7602d970204096e,Infosphere Project: System Support for Information Flow Applications.,"['Calton Pu', 'Karsten Schwan', 'Jonathan Walpole']",2001,SIGMOD Record
53e9b97cb7602d970456a2b5,Cost Estimation of User-Defined Methods in Object-Relational Database Systems.,"['Jihad Boulos', 'Kinji Ono']",1999,SIGMOD Record
53e99e05b7602d97026cb93f,Reminiscences on Influential Papers.,"['Kenneth A. Ross', 'Amr El Abbadi', 'Theodore Johnson', 'Richard T. Snodgrass']",2002,SIGMOD Record
53e9a1eeb7602d9702af1c6f,Multigranularity Locking in Multiple Job Classes Transaction Processing System.,"['Shan-hoi Ng', 'Sheung-lun Hung']",1995,SIGMOD Record
53e99b26b7602d97023bfae5,Kanata: Adaptation and Evolution in Data Sharing Systems.,"['Periklis Andritsos', 'Ariel Fuxman', 'Anastasios Kementsietsidis', 'Renée J. Miller', 'Yannis Velegrakis']",2004,SIGMOD Record
53e9ba84b7602d97046a5819,VLDB Workshop on Technologies in E-Services (TES).,"['Fabio Casati', 'Umeshwar Dayal', 'Ming-Chien Shan']",2000,SIGMOD Record
53e9aad2b7602d970345145a,Mining System Audit Data: Opportunities and Challenges.,"['Wenke Lee', 'Wei Fan']",2001,SIGMOD Record
53e9af12b7602d9703948ee5,SQL Multimedia and Application Packages (SQL/MM).,"['Jim Melton', 'Andrew Eisenberg']",2001,SIGMOD Record
53e9bd11b7602d970499c03a,NSF Workshop on Industrial/Academic Cooperation in Database Systems.,"['Michael J. Carey', 'Leonard J. Seligman']",1999,SIGMOD Record
53e99f57b7602d97028287a6,Condition Handling in SQL Persistent Stored Modules.,['Jeff Richey'],1995,SIGMOD Record
53e9ac8fb7602d9703668794,Rethinking the Conference Reviewing Process - Panel.,"['Michael J. Franklin', 'Jennifer Widom', 'Gerhard Weikum', 'Philip A. Bernstein', 'Alon Y. Halevy', 'David J. DeWitt', 'Anastassia Ailamaki', 'Zachary G. Ives']",2004,SIGMOD Conference
53e99809b7602d970201f942,Much Ado About Shared-Nothing.,"['Michael G. Norman', 'Thomas Zurek', 'Peter Thanisch']",1996,SIGMOD Record
53e9af46b7602d970398679c,WebDB '98: International Workshop on the Web and Databases.,"['Paolo Atzeni', 'Alberto O. Mendelzon']",1998,SIGMOD Record
53e9b6b4b7602d970423b7ec,"Research in Databases and Data-Intensive Applications - Computer Science Department and FZI, University of Karlsruhe.","['Birgitta König-Ries', 'Peter C. Lockemann']",1997,SIGMOD Record
53e9a8b0b7602d97031fe877,Extraction of Object-Oriented Structures from Existing Relational Databases.,"['Shekar Ramanathan', 'Julia E. Hodges']",1997,SIGMOD Record
53e9b7b4b7602d970435fcb0,"Spatial, Temporal and Spatio-Temporal Databases - Hot Issues and Directions for PhD Research.","['John F. Roddick', 'Max J. Egenhofer', 'Erik G. Hoel', 'Dimitris Papadias', 'Betty Salzberg']",2004,SIGMOD Record
53e9bb15b7602d970475279c,Chair's Message.,['Richard T. Snodgrass'],2000,SIGMOD Record
53e99809b7602d970201f8e3,Cluster Validity Methods: Part I.,"['Maria Halkidi', 'Yannis Batistakis', 'Michalis Vazirgiannis']",2002,SIGMOD Record
53e9b4b0b7602d9703fc5ea7,SQLJ-Part 1: SQL Routines Using the Java Programming Language.,"['Andrew Eisenberg', 'Jim Melton']",1999,SIGMOD Record
53e9bbc2b7602d970480ff92,Land below a DBMS.,"['Kaladhar Voruganti', 'Jai Menon', 'Sandeep Gopisetty']",2004,SIGMOD Record
53e9b5bcb7602d9704102972,Comparative Analysis of Six XML Schema Languages.,"['Dongwon Lee', 'Wesley W. Chu']",2000,SIGMOD Record
53e99a56b7602d97022bc065,A Survey of Logical Models for OLAP Databases.,"['Panos Vassiliadis', 'Timos K. Sellis']",1999,SIGMOD Record
53e99fbcb7602d9702898c46,Issues in data stream management.,"['Lukasz Golab', 'M. Tamer Özsu']",2003,SIGMOD Record
53e9a073b7602d970295a743,Converting Relational to Object-Oriented Databases.,['Joseph Fong'],1997,SIGMOD Record
53e9a85cb7602d97031a7354,Call for Book Reviews.,['Karl Aberer'],2003,SIGMOD Record
53e9bac9b7602d97046f5645,Distributed deviation detection in sensor networks.,"['Themistoklis Palpanas', 'Dimitris Papadopoulos', 'Vana Kalogeraki', 'Dimitrios Gunopulos']",2003,SIGMOD Record
53e9b098b7602d9703affc08,ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems.,"['P. Bruce Berra', 'Kingsley C. Nwosu', 'Bhavani M. Thuraisingham']",1995,SIGMOD Record
53e99800b7602d970200b614,The Third Manifesto.,"['Hugh Darwen', 'C. J. Date']",1995,SIGMOD Record
53e9b59ab7602d97040de469,Interview with Jeffrey Naughton.,['Marianne Winslett'],2004,SIGMOD Record
53e99aa6b7602d970231e894,Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002.,"['Qiang Wang', 'Brian D. Davison 0001']",2003,SIGMOD Record
53e9a5b6b7602d9702edd94d,Interview with Avi Silberschatz.,['Marianne Winslett'],2002,SIGMOD Record
53e99aa6b7602d970231e5cf,UbiData: Requirements and Architecture for Ubiquitous Data Access.,"['Abdelsalam Helal', 'Joachim Hammer']",2004,SIGMOD Record
53e9b58eb7602d97040d32f1,Chair's Message.,['M. Tamer Özsu'],2003,SIGMOD Record
53e99809b7602d970201f928,Guest Editor's Introduction.,['Asuman Dogac'],1998,SIGMOD Record
53e99ad0b7602d9702351dcb,XML and Electronic Commerce: Enabling the Network Economy.,"['Bart Meltzer', 'Robert J. Glushko']",1998,SIGMOD Record
53e9a238b7602d9702b413fb,Reminiscences on Influential Papers - Kenneth A. Ross.,"['Zachary G. Ives', 'Bertram Ludäscher', 'Ioana Manolescu']",2004,SIGMOD Record
53e9b74fb7602d97042ecda0,Automata Theory for XML Researchers.,['Frank Neven'],2002,SIGMOD Record
53e9ab65b7602d97035023ec,Report on the Web Dynamics Workshop at WWW 2002.,"['Mark Levene', 'Alexandra Poulovassilis']",2002,SIGMOD Record
53e9a62fb7602d9702f5f1b7,A context-aware methodology for very small data base design.,"['Cristiana Bolchini', 'Fabio A. Schreiber', 'Letizia Tanca']",2004,SIGMOD Record
53e9afacb7602d97039fb80e,Book Review Column.,['Karl Aberer'],2001,SIGMOD Record
53e9b693b7602d97042060f9,Reminiscences on Influential Papers.,"['Kenneth A. Ross', 'Yannis E. Ioannidis', 'Anant Jhingran', 'Christos H. Papadimitriou']",2000,SIGMOD Record
53e99b0ab7602d970239c211,Why And How To Benchmark XML Databases.,"['Albrecht Schmidt 0002', 'Florian Waas', 'Martin L. Kersten', 'Daniela Florescu', 'Michael J. Carey', 'Ioana Manolescu', 'Ralph Busse']",2001,SIGMOD Record
53e9ad76b7602d970376596e,Report on the Mobile Search Workshop at WWW 2002.,"['Aya Soffer', 'Yoëlle S. Maarek', 'Bay-Wei Chang']",2002,SIGMOD Record
53e9a28ab7602d9702b92b09,Reminiscences on Influential Papers.,['Richard T. Snodgrass'],1998,SIGMOD Record
53e9b281b7602d9703d24790,View Maintenance in Mobile Computing.,"['Ouri Wolfson', 'A. Prasad Sistla', 'Son Dao', 'Kailash Narayanan', 'Ramya Raj']",1995,SIGMOD Record
53e9b47cb7602d9703f80ae7,Business Data Management for B2B Electronic Commerce.,"['Christoph Quix', 'Mareike Schoop', 'Manfred A. Jeusfeld']",2002,SIGMOD Record
53e9ad87b7602d9703780a0d,Spotfire: An Information Exploration Environment.,['Christopher Ahlberg'],1996,SIGMOD Record
53e9be27b7602d9704ae287e,Dynamic Information Visualization.,['Yannis E. Ioannidis'],1996,SIGMOD Record
53e99a43b7602d97022a4497,A Brief Survey of Web Data Extraction Tools.,"['Alberto H. F. Laender', 'Berthier A. Ribeiro-Neto', 'Altigran Soares da Silva', 'Juliana S. Teixeira']",2002,SIGMOD Record
53e9aa0fb7602d97033792a6,Evaluating lock-based protocols for cooperation on XML documents.,"['Sven Helmer', 'Carl-Christian Kanne', 'Guido Moerkotte']",2004,SIGMOD Record
53e9b47cb7602d9703f7f787,Reminiscences on Influential Papers.,"['Kenneth A. Ross', 'James R. Hamilton', 'Laks V. S. Lakshmanan', 'Limsoon Wong']",2001,SIGMOD Record
53e99f12b7602d97027e025e,Political Winds Change Direction Again.,['Xiaolei Qian'],1995,SIGMOD Record
53e9b2e0b7602d9703d9658a,"OLAP, Relational, and Multidimensional Database Systems.",['George Colliat'],1996,SIGMOD Record
53e9b0b2b7602d9703b21cca,Editor's Notes.,['Michael J. Franklin'],1997,SIGMOD Record
53e9bb1cb7602d970475749a,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System.,"['Mehul A. Shah', 'Samuel Madden', 'Michael J. Franklin', 'Joseph M. Hellerstein']",2001,SIGMOD Record
53e99a0ab7602d9702257f39,XPath Processing in a Nutshell.,"['Georg Gottlob', 'Christoph Koch', 'Reinhard Pichler']",2003,SIGMOD Record
53e997edb7602d9701fed3e4,Relational data sharing in peer-based data management systems.,"['Beng Chin Ooi', 'Yanfeng Shu', 'Kian-Lee Tan']",2003,SIGMOD Record
53e9acc4b7602d97036a1041,Editor's Notes.,['Lin Liu'],2004,SIGMOD Record
53e9bbfbb7602d9704857cf7,Theory of Answering Queries Using Views.,['Alon Y. Halevy'],2000,SIGMOD Record
53e9ab64b7602d97034ff820,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems.,"['Lionel Brunie', 'Harald Kosch']",1996,SIGMOD Record
53e9ab31b7602d97034bb6c4,Treasurer's Message.,['Joachim Hammer'],2002,SIGMOD Record
53e9984fb7602d970208510b,Implementation Aspects of an Object-Oriented DBMS.,"['Asuman Dogac', 'Mehmet Altinel', 'Cetin Ozkan', 'Ilker Durusoy']",1995,SIGMOD Record
53e9b95bb7602d9704549f06,Open GIS and On-Line Environmental Libraries.,['Kenn Gardels'],1997,SIGMOD Record
53e9aea4b7602d97038c9599,Incremental data Structures and Algorithms for Dynamic Query Interfaces.,"['Egemen Tanin', 'Richard Beigel', 'Ben Shneiderman']",1996,SIGMOD Record
53e9b338b7602d9703e0c652,EIHA?!?: Deploying Web and WAP services using XML Technology.,"['Chiara Biancheri', 'Jean-Christophe R. Pazzaglia', 'Gavino Paddeu']",2001,SIGMOD Record
53e9babab7602d97046e7c3c,An Introduction to Remy's Fast Polymorphic Record Projection.,['Limsoon Wong'],1995,SIGMOD Record
53e9b700b7602d97042950b9,Exposing undergraduate students to database system internals.,"['Anastassia Ailamaki', 'Joseph M. Hellerstein']",2003,SIGMOD Record
53e9b1c2b7602d9703c5029f,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999.","['Fernando Berzal Galiano', 'Nicolás Marín']",2003,SIGMOD Record
53e9a757b7602d970308f864,Integrating Modelling Systems for Environmental Management Information Systems.,"['David J. Abel', 'Kerry L. Taylor', 'Dean Kuo']",1997,SIGMOD Record
53e9985fb7602d9702096dfe,Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic Web and Enterprises.,"['Amit P. Sheth', 'Robert Meersman']",2002,SIGMOD Record
53e9b61bb7602d970416f8ed,Efficient Materialization and Use of Views in Data Warehouses.,"['Márcio Farias de Souza', 'Marcus Costa Sampaio']",1999,SIGMOD Record
53e9b65bb7602d97041be2dd,An Orthogonally Persistent Java.,"['Malcolm P. Atkinson', 'Laurent Daynès', 'Mick J. Jordan', 'Tony Printezis', 'Susan Spence']",1996,SIGMOD Record
53e99a4eb7602d97022b2d1f,Environment Information Systems - Guest Editor's Foreword.,['Oliver Günther'],1997,SIGMOD Record
53e99b2cb7602d97023c5356,Constraint databases: A tutorial introduction.,['Jan Van den Bussche'],2000,SIGMOD Record
53e9ac33b7602d97035fc49a,SQL/XML and the SQLX Informal Group of Companies.,"['Andrew Eisenberg', 'Jim Melton']",2001,SIGMOD Record
53e99800b7602d970200b608,A Componentized Architecture for Dynamic Electronic Markets.,"['Benny Reich', 'Israel Ben-Shaul']",1998,SIGMOD Record
53e9b8a1b7602d970447d825,Information Systems Research at RWTH Aachen.,['Matthias Jarke'],1995,SIGMOD Record
53e9b8d4b7602d97044b3ccc,Editor's Notes.,['Michael J. Franklin'],1999,SIGMOD Record
53e9ab89b7602d9703535b9b,To Table or Not to Table: a Hypertabular Answer.,"['Giuseppe Santucci', 'Laura Tarantino']",1996,SIGMOD Record
53e9afc0b7602d9703a0fbc3,An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents.,"['Josep Domingo-Ferrer', 'Jordi Herrera-Joancomartí']",1998,SIGMOD Record
53e99803b7602d9702013871,Editor's Notes.,['Michael J. Franklin'],2000,SIGMOD Record
53e99800b7602d970200b61f,Managing uncertainty in sensor database.,"['Reynold Cheng', 'Sunil Prabhakar']",2003,SIGMOD Record
53e9b023b7602d9703a812bc,XPath query containment.,['Thomas Schwentick'],2004,SIGMOD Record
53e9b81cb7602d97043d2b2a,Editor's Notes.,['Michael J. Franklin'],2000,SIGMOD Record
53e9a3dbb7602d9702ceca1e,"Message from Editor-in-Chief, ACM Transactions on Database Systems.",['Won Kim'],1999,SIGMOD Record
53e99d7ab7602d9702637ad6,Report on the 18th British National Conference on Databases (BNCOD).,"['Carole A. Goble', 'Brian J. Read']",2002,SIGMOD Record
53e9b62eb7602d970418b0b2,A Research Status Report on Adaptation for Mobile Data Access.,"['Brian Noble', 'Mahadev Satyanarayanan']",1995,SIGMOD Record
53e9ab6fb7602d970350e60f,Matching Large XML Schemas.,"['Erhard Rahm', 'Hong Hai Do', 'Sabine Massmann']",2004,SIGMOD Record
53e99fc2b7602d970289b303,Semantic Video Indexing: Approach and Issue.,['Arun Hampapur'],1999,SIGMOD Record
